Comment;Designator;Footprint;Quantity
PinHeader_1x2_P2mm_Drill1mm_RA;J202;PinHeader_1x2_P2mm_Drill1mm_RA;1
1k 0.1% 25ppm;R213,R202,R208,R212,R211,R206,R210,R201,R207,R504,R209,R204,R203;R_0603_1608Metric;13
4 pF;C201,C207;C_0603_1608Metric;2
PinHeader_1x2_P2mm_Drill1mm_RA;UART4;PinHeader_1x2_P2mm_Drill1mm_RA;1
PinHeader_1x2_P2mm_Drill1mm_RA;UART1;PinHeader_1x2_P2mm_Drill1mm_RA;1
1uF;C603,C606,C209,C613,C203,C614,C601;C_0603_1608Metric;7
BWSMA-KWE-Z001;J303,J301,J302;RF_SMA_RightAngle_5-1814400-1;3
0154001.DR;F503,F502,F504,F505;FUSE_0154001.DR;4
100nF;C213,C401,C501,C211,C508,C210,C212;C_0603_1608Metric;7
330R 0.1% 25ppm;R509,R205,R508;R_0603_1608Metric;3
PinHeader_1x4_P2.5mm_Drill1.1mm;PRESSURE;PinHeader_1x4_P2.5mm_Drill1.1mm;1
22 pF;C202,C206;C_0603_1608Metric;2
PinHeader_1x4_P2.5mm_Drill1.1mm;HUMIDITY;PinHeader_1x4_P2.5mm_Drill1.1mm;1
TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;J503;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1
PinHeader_1x2_P2mm_Drill1mm_RA;J602;PinHeader_1x2_P2mm_Drill1mm_RA;1
PinHeader_1x2_P2mm_Drill1mm_RA;UART2;PinHeader_1x2_P2mm_Drill1mm_RA;1
1720BL15B0200E;FL303,FL302,FL301;1720BL15B0200E;3
LED;D502,D201,D504,D501,D503;LED_0805_2012Metric;5
2.2K 0.1% 25ppm;R402,R401,R403;R_0603_1608Metric;3
ABM11W-48.0000MHZ-7-B1U-T3;Y201;XTAL_ABM11W-48.0000MHZ-7-B1U-T3;1
PinHeader_1x2_P2mm_Drill1mm_RA;J601;PinHeader_1x2_P2mm_Drill1mm_RA;1
TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;J504;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1
1.5K 0.5A;FB501;L_0603_1608Metric;1
ABS07-32.768KHZ-T;Y202;XTAL_ABS07-32.768KHZ-T;1
RCT-0C;3V3,3V3 F,5V,Pipe,Amb;PROBE_PAD_0805;5
500R;R507;R_0603_1608Metric;1
PinHeader_1x06_P2.54mm_Vertical;J201;PinHeader_1x06_P2.54mm_Vertical;1
LTC1694CS5TRMPBF;U202;SOT95P280X100-5N;1
CC1354P106T0RGZR;U201;VQFN48_RGZ_TEX;1
TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;J502;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1
015402.5DR;F501;0154Series_LTF;1
TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;J505;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1
10uF;C504,C502,C509,C503,C510;C_0805_2012Metric;5
PinHeader_1x2_P2mm_Drill1mm_RA;UART3;PinHeader_1x2_P2mm_Drill1mm_RA;1
TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;J501;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1
22uF;C204,C506,C512,C507,C505,C511;C_0805_2012Metric;6
1.91k 0.1% 25ppm;R607,R602,R608,R603;R_0603_1608Metric;4
18k 0.1% 25ppm;R503;R_0603_1608Metric;1
AZ1117CH2-3.3;U501,U502;SOT-223-3_TabPin2;2
72.3k 0.1% 25ppm;R505;R_0603_1608Metric;1
1.5k 0.1% 25ppm;R606,R604;R_0603_1608Metric;2
MX25R1635FZUIL0;U401;USON-8L-2X3X0P6_MAC;1
6.65k 0.1% 25ppm;R611,R601;R_0603_1608Metric;2
3k 0.1% 25ppm;R501;R_0603_1608Metric;1
10k 0.1% 25ppm;R506;R_0603_1608Metric;1
TPSM84338RCJR;PS501;CONV_TPSM84338RCJR;1
150pF;C208,C205;C_0603_1608Metric;2
6.8uH;L201;L_0805_2012Metric;1
2k 0.1% 25ppm;R502;R_0603_1608Metric;1
TLV9002IDR;U602;SOIC127P599X175-8N;1
